date,title,amount
2026-04-20,Carrefour Shopping Met,3.49
2026-04-20,iFood - NuPay - 1/2,38.35
2026-04-20,Mercado da Barra,40.33
2026-04-19,Uber - NuPay,21.77
2026-04-19,Hirota em Casa,11.98
2026-04-19,Hirota em Casa,25.19
2026-04-19,Hirota em Casa,43.09
2026-04-18,Mania de Churrasco,48.80
2026-04-18,Oxxo Engenheiro,26.11
2026-04-18,Obah Cozinha Brasileir,29.90
2026-04-18,Baciodilatte,23.90
2026-04-17,Hirota em Casa,26.49
2026-04-17,Shopee*Shps Tecnologia - Parcela 1/2,39.95
2026-04-17,Baciodilatte,11.95
2026-04-17,Ebn *Spotify,12.90
2026-04-17,Hirota Express Vivo Be,17.96
2026-04-16,Uber - NuPay,-59.04
2026-04-16,Uber - NuPay,59.04
2026-04-16,Uber - NuPay,32.09
2026-04-16,Petlove Saud*Petlove S,34.90
2026-04-16,Hirota em Casa,57.86
2026-04-16,Pg *Evora Lavanderia L,11.80
2026-04-15,99 - NuPay,39.80
2026-04-15,99 - NuPay,-71.20
2026-04-15,Uber - NuPay,98.89
2026-04-15,Uber - NuPay,-98.89
2026-04-15,Uber - NuPay,53.97
2026-04-15,Uber - NuPay,32.66
2026-04-15,Uber - NuPay,98.89
2026-04-15,99 - NuPay,71.20
2026-04-15,Uber - NuPay,-3.27
2026-04-15,Cantina Magalhaes,40.00
2026-04-15,Lojinhadoca,27.30
2026-04-15,Mcdonaldsecommerce,33.90
2026-04-15,Edineide Rodrigues Fer,27.00
2026-04-15,Hirota em Casa,20.37
2026-04-15,Baciodilatte,33.95
2026-04-15,Recargapay *Bilh Unic,50.00
2026-04-14,Uber - NuPay,23.31
2026-04-14,Mercadolivre*Mercadol - Parcela 1/8,57.55
2026-04-13,Pagamento recebido,-1775.27
2026-04-13,Amazonmktplc*Comercial - Parcela 3/7,55.70
2026-04-13,iFood - NuPay - 3/3,29.45
2026-04-13,Amazonmktplc*Ankerinno - Parcela 7/12,37.39
2026-04-13,Recargapay *Mercado P - Parcela 3/3,138.17
2026-04-13,Amazon - Parcela 7/7,53.28
2026-04-13,Recargapay *Bilh Unic - Parcela 2/2,27.19
2026-04-13,iFood - NuPay - 2/3,25.00
2026-04-13,iFood - NuPay - 2/2,18.83
2026-04-13,Pbkids-Eldorado - Parcela 6/10,33.99
2026-04-13,Ingresso.com - NuPay - 2/2,57.06
2026-04-13,Parcelamento de Fatura (20/Fevereiro) - 3/3,53.65
2026-04-13,Mercadolivre*Mercadol - Parcela 2/6,85.53
2026-04-13,iFood - NuPay - 2/2,29.49
2026-04-13,Airbnb * Hmsset824x - Parcela 9/10,136.55
2026-04-13,Recargapay *Bilh Unic - Parcela 2/3,18.74
2026-04-13,iFood - NuPay - 3/3,11.56
